ss_id,llsoacd,orientation,tilt,kwp,operational_at
2803,E01006598,270.0,30.0,0.8799999952316284,2011-08-18
2804,E01005489,185.0,5.0,3.4200000762939453,2011-09-09
2805,S00117991,200.0,50.0,3.9200000762939453,2011-09-21
2806,E01029144,180.0,38.0,3.8399999141693115,2011-09-23
2807,E01019549,180.0,18.0,4.0,2011-09-23
2808,E01032072,180.0,40.0,3.4200000762939453,2011-09-23
2809,E01032102,170.0,40.0,2.5899999141693115,2011-09-23
2810,S00128290,177.0,40.0,3.9200000762939453,2011-09-23
2811,E01016780,187.0,30.0,3.3299999237060547,2011-09-23
2812,E01014952,121.0,30.0,3.3299999237060547,2011-09-28
2813,E01025916,270.0,30.0,4.0,2011-09-27
2814,E01017436,265.0,32.0,4.0,2011-10-06
2815,E01026240,155.0,30.0,1.75,2011-09-28
2816,E01029858,260.0,30.0,4.0,2011-09-27
2817,S00115916,155.0,40.0,3.9200000762939453,2011-10-05
2818,E01020231,150.0,30.0,2.1600000858306885,2012-03-15
2819,E01020986,200.0,35.0,2.1600000858306885,2011-09-29
2820,E01011757,208.0,40.0,1.3799999952316284,2011-09-28
2821,E01013605,272.0,30.0,2.75,2011-09-27
2822,E01032187,240.0,40.0,3.9200000762939453,2011-10-12
2823,E01007523,180.0,30.0,3.2899999618530273,2011-09-28
2824,E01015396,135.0,35.0,3.5,2011-09-29
2825,E01028795,146.0,41.0,2.2799999713897705,2011-09-23
2826,E01015357,180.0,28.0,1.8799999952316284,2011-08-31
2827,E01032119,221.0,40.0,1.7999999523162842,2011-09-30
2828,E01018207,115.0,25.0,3.9200000762939453,2011-10-14
2829,E01021989,220.0,30.0,1.5,2011-10-03
2830,E01014629,220.0,28.0,2.5,2011-10-03
2831,E01026102,185.0,30.0,3.680000066757202,2011-09-09
2832,E01028763,180.0,30.0,3.9600000381469727,2011-10-06
2833,E01018935,120.0,35.0,4.0,2011-12-15
2834,E01028378,180.0,30.0,4.0,2011-10-05
2835,E01025619,100.0,30.0,2.0,2011-10-13
2836,E01015341,190.0,30.0,2.4000000953674316,2011-10-04
2837,E01014825,185.0,30.0,3.3299999237060547,2011-10-04
2838,E01028795,225.0,34.0,2.2799999713897705,2011-10-04
2839,E01031639,90.0,36.0,3.9600000381469727,2011-10-04
2840,E01028795,225.0,44.0,2.2799999713897705,2011-10-04
2841,E01008755,150.0,30.0,2.0999999046325684,2011-10-04
2842,E01018944,190.0,35.0,4.0,2011-10-04
2843,E01008970,195.0,30.0,3.0,2011-10-04
2844,S00091805,135.0,50.0,1.9600000381469727,2011-10-04
2845,E01013605,266.0,30.0,2.75,2011-10-04
2846,E01015713,187.0,30.0,3.4200000762939453,2011-10-04
